engine,pass_index,start_ts,elapsed_ms,device,seq_len,commit,notes,cpu_brand
deepmind,0,2025-08-13T22:33:38.589259+00:00,116.69921875,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,1,2025-08-13T22:33:38.705992+00:00,117.19083786010742,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,2,2025-08-13T22:33:38.823203+00:00,79.98037338256836,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,3,2025-08-13T22:33:38.903209+00:00,72.97635078430176,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,4,2025-08-13T22:33:38.976228+00:00,81.19702339172363,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,0,2025-08-13T22:33:45.690418+00:00,20.32923698425293,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,1,2025-08-13T22:33:45.710786+00:00,19.161701202392575,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,2,2025-08-13T22:33:45.729972+00:00,18.89324188232422,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,3,2025-08-13T22:33:45.748886+00:00,19.077539443969727,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,4,2025-08-13T22:33:45.767985+00:00,18.953800201416016,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
