engine,pass_index,start_ts,elapsed_ms,device,seq_len,commit,notes,cpu_brand
deepmind,0,2025-08-09T22:13:52.438457+00:00,12.341976165771484,cpu,16,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,smoke,Apple M4 Max
deepmind,1,2025-08-09T22:13:52.450920+00:00,10.273933410644531,cpu,16,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,smoke,Apple M4 Max
deepmind,2,2025-08-09T22:13:52.461208+00:00,12.521982192993164,cpu,16,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,smoke,Apple M4 Max
deepmind,3,2025-08-09T22:13:52.473747+00:00,12.51673698425293,cpu,16,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,smoke,Apple M4 Max
deepmind,4,2025-08-09T22:13:52.486273+00:00,12.522220611572266,cpu,16,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,smoke,Apple M4 Max
ligo,0,2025-08-09T22:13:52.501331+00:00,12.51673698425293,cpu,16,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,smoke,Apple M4 Max
ligo,1,2025-08-09T22:13:52.513861+00:00,11.597633361816406,cpu,16,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,smoke,Apple M4 Max
ligo,2,2025-08-09T22:13:52.525482+00:00,12.525796890258787,cpu,16,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,smoke,Apple M4 Max
ligo,3,2025-08-09T22:13:52.538043+00:00,12.516021728515623,cpu,16,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,smoke,Apple M4 Max
ligo,4,2025-08-09T22:13:52.550579+00:00,12.525796890258787,cpu,16,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,smoke,Apple M4 Max
