engine,pass_index,start_ts,elapsed_ms,device,seq_len,commit,notes,cpu_brand
deepmind,0,2025-08-09T23:47:50.875445+00:00,0.03504753112792969,cpu,64,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,toy-cpu,Apple M4 Max
deepmind,1,2025-08-09T23:47:50.875649+00:00,0.02384185791015625,cpu,64,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,toy-cpu,Apple M4 Max
deepmind,2,2025-08-09T23:47:50.875677+00:00,0.02288818359375,cpu,64,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,toy-cpu,Apple M4 Max
deepmind,3,2025-08-09T23:47:50.875703+00:00,0.022172927856445313,cpu,64,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,toy-cpu,Apple M4 Max
deepmind,4,2025-08-09T23:47:50.875727+00:00,0.02312660217285156,cpu,64,2e2ffc10ab13b1d6f0234d0007488c4a3dedf3e6,toy-cpu,Apple M4 Max
ligo,0,2025-08-09T23:47:51.897209+00:00,0.007867813110351563,cpu,64,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,toy-cpu,Apple M4 Max
ligo,1,2025-08-09T23:47:51.897227+00:00,0.0059604644775390625,cpu,64,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,toy-cpu,Apple M4 Max
ligo,2,2025-08-09T23:47:51.897235+00:00,0.004291534423828125,cpu,64,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,toy-cpu,Apple M4 Max
ligo,3,2025-08-09T23:47:51.897241+00:00,0.003814697265625,cpu,64,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,toy-cpu,Apple M4 Max
ligo,4,2025-08-09T23:47:51.897246+00:00,0.0040531158447265625,cpu,64,621531e4f36c3ce5e20157f88f27049d3f3f1fcc,toy-cpu,Apple M4 Max
