engine,pass_index,start_ts,elapsed_ms,device,seq_len,commit,notes,cpu_brand
deepmind,0,2025-08-13T23:57:28.375329+00:00,53.63154411315918,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,1,2025-08-13T23:57:28.428989+00:00,50.53091049194336,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,2,2025-08-13T23:57:28.479543+00:00,52.24013328552246,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,3,2025-08-13T23:57:28.531804+00:00,51.99861526489258,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,4,2025-08-13T23:57:28.583825+00:00,51.03325843811035,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,0,2025-08-13T23:57:32.827081+00:00,19.954442977905273,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,1,2025-08-13T23:57:32.847084+00:00,19.3331241607666,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,2,2025-08-13T23:57:32.866448+00:00,19.23680305480957,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,3,2025-08-13T23:57:32.885709+00:00,19.011259078979492,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,4,2025-08-13T23:57:32.904745+00:00,19.04606819152832,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
