engine,pass_index,start_ts,elapsed_ms,device,seq_len,commit,notes,cpu_brand
deepmind,0,2025-08-13T10:57:28.226036+00:00,10.066986083984377,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,1,2025-08-13T10:57:28.236126+00:00,10.167121887207031,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,2,2025-08-13T10:57:28.246318+00:00,10.11061668395996,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,3,2025-08-13T10:57:28.256449+00:00,10.067462921142578,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,4,2025-08-13T10:57:28.266537+00:00,10.067462921142578,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,0,2025-08-13T10:57:37.218880+00:00,2251.2099742889404,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,1,2025-08-13T10:57:39.470139+00:00,2327.453851699829,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,2,2025-08-13T10:57:41.797635+00:00,2289.4058227539063,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,3,2025-08-13T10:57:44.087100+00:00,2314.401149749756,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,4,2025-08-13T10:57:46.401544+00:00,2315.8342838287354,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
