engine,pass_index,start_ts,elapsed_ms,device,seq_len,commit,notes,cpu_brand
deepmind,0,2025-08-13T17:33:19.063491+00:00,10.132789611816406,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,1,2025-08-13T17:33:19.073661+00:00,10.078191757202148,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,2,2025-08-13T17:33:19.083773+00:00,10.07533073425293,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,3,2025-08-13T17:33:19.093881+00:00,10.074853897094728,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,4,2025-08-13T17:33:19.103997+00:00,10.12587547302246,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,0,2025-08-13T17:33:26.771254+00:00,2314.6612644195557,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,1,2025-08-13T17:33:29.085986+00:00,2361.3312244415283,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,2,2025-08-13T17:33:31.447373+00:00,2308.349609375,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,3,2025-08-13T17:33:33.755769+00:00,2296.175479888916,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,4,2025-08-13T17:33:36.051982+00:00,2317.128419876098,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
