engine,pass_index,start_ts,elapsed_ms,device,seq_len,commit,notes,cpu_brand
deepmind,0,2025-08-13T21:55:58.000954+00:00,10.07699966430664,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,1,2025-08-13T21:55:58.011072+00:00,10.081052780151367,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,2,2025-08-13T21:55:58.021192+00:00,10.082244873046877,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,3,2025-08-13T21:55:58.031334+00:00,10.1470947265625,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
deepmind,4,2025-08-13T21:55:58.041518+00:00,10.129213333129885,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,0,2025-08-13T21:56:02.396634+00:00,35.49337387084961,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,1,2025-08-13T21:56:02.432189+00:00,33.7977409362793,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,2,2025-08-13T21:56:02.466025+00:00,33.6458683013916,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,3,2025-08-13T21:56:02.499705+00:00,37.64820098876953,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
ligo,4,2025-08-13T21:56:02.537399+00:00,35.97545623779297,cuda,64,unknown,,INTEL(R) XEON(R) PLATINUM 8558
